epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.674,0.77228,3.01763,1.12712,0.75197,0.65805,0.77362,0.68313,0.48723,1.91291,0.88413,0.000253915,0.000253915,0.000253915
2,60.4531,0.8013,1.46597,1.14856,0.83804,0.89967,0.96713,0.85548,0.51729,0.95104,0.88542,0.000505197,0.000505197,0.000505197
3,72.2738,0.75198,1.16923,1.11337,0.86994,0.94185,0.96092,0.86189,0.60192,0.71776,0.90772,0.000751403,0.000751403,0.000751403
4,94.6254,0.71791,1.06086,1.10559,0.85847,0.9548,0.96827,0.86414,0.47202,0.7049,0.88917,0.000746161,0.000746161,0.000746161
5,105.549,0.73008,1.05748,1.1094,0.87497,0.95109,0.97087,0.86946,0.45776,0.75728,0.87898,0.000738548,0.000738548,0.000738548
6,116.64,0.69886,0.9785,1.10885,0.92323,0.96336,0.9738,0.89566,0.40052,0.59606,0.87039,0.000730935,0.000730935,0.000730935
7,129.344,0.65746,0.92125,1.06904,0.92701,0.96261,0.98172,0.89989,0.46008,0.57672,0.87009,0.000723321,0.000723321,0.000723321
8,140.815,0.6508,0.84315,1.07292,0.95292,0.94721,0.98538,0.92132,0.36831,0.67017,0.85674,0.000715708,0.000715708,0.000715708
9,151.777,0.6524,0.84658,1.08057,0.92942,0.95788,0.98431,0.91467,0.39712,0.51893,0.85797,0.000708095,0.000708095,0.000708095
10,163.265,0.64475,0.798,1.06899,0.95276,0.96063,0.98307,0.9302,0.37098,0.54135,0.8578,0.000700482,0.000700482,0.000700482
11,174.227,0.62426,0.7793,1.05861,0.90222,0.96086,0.97463,0.90049,0.35413,0.52298,0.85462,0.000692869,0.000692869,0.000692869
12,185.153,0.60982,0.7637,1.05322,0.96471,0.95016,0.98548,0.92967,0.39008,0.43186,0.87031,0.000685256,0.000685256,0.000685256
13,196.259,0.61825,0.74258,1.05406,0.92532,0.9272,0.9651,0.90126,0.37912,0.51211,0.85055,0.000677643,0.000677643,0.000677643
14,207.485,0.60432,0.73375,1.05394,0.9556,0.98513,0.97714,0.91101,0.35821,0.40761,0.85133,0.00067003,0.00067003,0.00067003
15,218.547,0.60858,0.72612,1.05537,0.94046,0.9551,0.97512,0.91994,0.36172,0.44033,0.84647,0.000662417,0.000662417,0.000662417
16,229.667,0.60046,0.69719,1.05442,0.94414,0.97672,0.98269,0.90705,0.42316,0.47753,0.87728,0.000654804,0.000654804,0.000654804
17,240.674,0.58534,0.68499,1.03539,0.95823,0.96566,0.98327,0.93552,0.3599,0.38735,0.85797,0.00064719,0.00064719,0.00064719
18,251.685,0.57042,0.64862,1.03093,0.95495,0.9764,0.98939,0.9469,0.33989,0.36133,0.8555,0.000639577,0.000639577,0.000639577
19,262.456,0.55841,0.64154,1.03272,0.97287,0.94643,0.98598,0.94068,0.3292,0.35646,0.83657,0.000631964,0.000631964,0.000631964
20,273.525,0.58279,0.66703,1.04241,0.95155,0.96665,0.98155,0.93937,0.32572,0.36538,0.83342,0.000624351,0.000624351,0.000624351
21,284.374,0.56565,0.64074,1.03223,0.96904,0.98739,0.99398,0.95476,0.32098,0.30806,0.83229,0.000616738,0.000616738,0.000616738
